price_total,room_type,is_shared_room,is_private_room,max_guests,is_superhost,is_multi_listing,is_business_listing,cleanliness_score,guest_satisfaction_score,num_bedrooms,distance_city_center,distance_metro,attraction_index,restaurant_index,longitude,latitude,city,district,state,country_name,Crime_Index,Safety_Index,Monthly_Average_Net_salary
192.2149159,Entire home/apt,0,0,2,1,0,0,10,100,1,3.916476003,0.321973003,180.3095866,431.8483337,2.40021,48.87271,Paris,Departement de Seine-Saint-Denis,Ile-de-France,France,58,42,3305.14
428.0456655,Entire home/apt,0,0,5,0,0,1,10,99,2,1.062966153,0.497409574,512.8702949,367.1271577,23.72661,37.96898,Athens,Nomarchia Athinas,Attica,Greece,55.2,44.8,1164.49
154.6676526,Entire home/apt,0,0,2,1,1,0,10,93,1,6.068886771,0.300394398,121.5122173,393.1515206,12.5557,41.8636,Rome,Citta metropolitana di Roma Capitale,Latium,Italy,47.3,52.7,1863.9
59.60935789,Private room,0,1,2,1,0,1,8,84,1,5.467090034,1.141784146,249.9394574,491.2543822,-0.04897,51.51181,London,Greater London,England,United Kingdom,55.6,44.4,4260.76
511.9381747,Entire home/apt,0,0,2,1,1,0,9,90,0,0.65749937,0.512617404,342.9491255,863.9440299,-9.14702,38.71363,Lisbon,Lisbon,Lisbon,Portugal,32.6,67.4,1304.65
156.2669214,Entire home/apt,0,0,3,1,0,1,9,93,1,1.734390181,0.281862527,166.177171,307.489415,19.07281,47.50777,Budapest,Budapest,Budapest,Hungary,33.9,66.1,1410.6
192.2013234,Entire home/apt,0,0,4,1,1,0,10,100,1,2.37168964,0.342571958,140.2245527,213.8695992,19.06477,47.51866,Budapest,Budapest,Budapest,Hungary,33.9,66.1,1410.6
145.4548339,Private room,0,1,2,0,0,1,10,95,1,3.287974389,0.242918727,207.7950598,600.2454942,12.5249,41.87659,Rome,Citta metropolitana di Roma Capitale,Latium,Italy,47.3,52.7,1863.9
285.776442,Entire home/apt,0,0,6,0,1,0,10,100,2,1.918365632,0.401277217,76.74082624,114.9195345,23.757,37.978,Athens,Nomarchia Athinas,Attica,Greece,55.2,44.8,1164.49
97.33113798,Entire home/apt,0,0,4,1,1,0,9,91,1,2.519191858,0.392190065,70.70903856,104.2000999,23.726,37.997,Athens,Nomarchia Athinas,Attica,Greece,55.2,44.8,1164.49
189.5456401,Entire home/apt,0,0,6,1,0,0,10,100,2,2.059786497,0.359394464,93.37559399,151.3112878,23.718,37.988,Athens,Nomarchia Athinas,Attica,Greece,55.2,44.8,1164.49
278.1607618,Entire home/apt,0,0,4,1,1,0,9,90,2,5.968956375,1.05170665,82.10657357,101.6163586,4.81944,52.34417,Amsterdam,Gemeente Amstelveen,North Holland,Netherlands,25.7,74.3,4502.1
472.1120467,Entire home/apt,0,0,2,1,0,1,9,93,0,1.547863981,0.317170892,431.4423351,938.4630028,2.348,48.843,Paris,Paris,Ile-de-France,France,58,42,3305.14
380.9925334,Entire home/apt,0,0,4,1,0,0,10,100,1,7.180610178,0.15750576,87.73749585,163.940268,13.32316,52.49312,Berlin,Berlin,Berlin,Germany,44.5,55.5,3136.14
548.2912532,Entire home/apt,0,0,3,0,0,1,10,93,1,0.420761184,0.252682484,484.519202,1140.241575,-9.144,38.714,Lisbon,Lisbon,Lisbon,Portugal,32.6,67.4,1304.65
224.4332992,Entire home/apt,0,0,2,1,0,0,9,91,0,3.282522065,0.188957841,207.2074954,619.0221222,2.37473,48.83085,Paris,Departement du Val-de-Marne,Ile-de-France,France,58,42,3305.14
134.3390757,Entire home/apt,0,0,4,1,0,0,10,100,2,7.893672978,2.732583178,141.1316094,294.8734236,-0.10979,51.43825,London,Greater London,England,United Kingdom,55.6,44.4,4260.76
247.3351214,Entire home/apt,0,0,4,1,0,1,6,60,1,2.118111593,1.212572137,1065.290701,1979.43775,12.47746,41.89633,Rome,Rome,Rome,Holy See (Vatican City State),47.3,52.7,1863.9
617.9620772,Entire home/apt,0,0,4,1,0,0,10,100,4,3.164313301,1.464328068,141.8918364,183.7400492,4.9324,52.35806,Amsterdam,Gemeente Ouder-Amstel,North Holland,Netherlands,25.7,74.3,4502.1
310.5352612,Private room,0,1,2,1,0,0,10,100,1,4.278624006,0.313309812,335.9798966,739.9252807,-0.188,51.501,London,Greater London,England,United Kingdom,55.6,44.4,4260.76
266.0955195,Private room,0,1,4,1,0,1,8,80,1,5.833951345,0.050432866,222.0940351,465.5179462,-0.04618,51.52151,London,Greater London,England,United Kingdom,55.6,44.4,4260.76
427.4153421,Entire home/apt,0,0,4,0,0,1,10,100,2,4.939138019,0.707086413,258.5380774,552.1043495,-0.1847,51.48194,London,Greater London,England,United Kingdom,55.6,44.4,4260.76
1641.614974,Entire home/apt,0,0,6,1,0,0,9,94,3,0.197575651,0.136719722,450.9211197,1195.170389,-9.13847,38.71084,Lisbon,Lisbon,Lisbon,Portugal,32.6,67.4,1304.65
